Año,Cilindrada,Kilómetros,Marca,Modelo,Placa,Puertas,Tipo de combustible,Unnamed: 0,Versión,precio,url_imagenes
2016.0,,26.000 km,Chevrolet,Spark GT,IXX-012,4.0,Gasolina,0,GT,26.000.000,"['https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_702634-MCO32910705976_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_795554-MCO32910714323_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_834136-MCO32910708910_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_746430-MCO32910739003_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_795529-MCO32910708921_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_697501-MCO32910708929_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_868284-MCO32910739025_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_658869-MCO32910789325_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_740354-MCO32910787406_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_928406-MCO32910739028_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_768393-MCO32910789321_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_954135-MCO32910794094_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_670298-MCO32910791702_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-spark-gt-D_NQ_NP_710687-MCO32910787418_112019-F.jpg']"
2008.0,,154.000 km,Chevrolet,Aveo,QFQ-504,5.0,Gasolina,0,SE 1.6cc MT AA,15.000.000,"['https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_720192-MCO32929177662_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_625729-MCO32929184037_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_634996-MCO32929184065_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_839724-MCO32929156921_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_751079-MCO32929416933_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_966123-MCO32929175758_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_737288-MCO32929424804_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_905306-MCO32929424816_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_664364-MCO32929185088_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_624939-MCO32929179225_112019-F.jpg', 'https://http2.mlstatic.com/chevrolet-aveo-se-16cc-mt-aa-D_NQ_NP_659940-MCO32929184146_112019-F.jpg']"
2002.0,,102.000 km,Jeep,Grand Cherokee,blt940,5.0,Gasolina,0,limited USA full,23.900.000,"['https://http2.mlstatic.com/jeep-grand-cherokee-sin-pico-y-placa-D_NQ_NP_897018-MCO29934233071_042019-F.jpg', 'https://http2.mlstatic.com/jeep-grand-cherokee-D_NQ_NP_869628-MCO29934218262_042019-F.jpg', 'https://http2.mlstatic.com/grand-cherokee-jeep-D_NQ_NP_965618-MCO29934221249_042019-F.jpg', 'https://http2.mlstatic.com/jeep-grand-cherokee-sin-pico-y-placa-D_NQ_NP_769856-MCO29934205938_042019-F.jpg', 'https://http2.mlstatic.com/jeep-grand-cherokee-D_NQ_NP_961877-MCO29934221276_042019-F.jpg', 'https://http2.mlstatic.com/grand-cherokee-jeep-D_NQ_NP_740491-MCO29934226730_042019-F.jpg', 'https://http2.mlstatic.com/jeep-grand-cherokee-sin-pico-y-placa-D_NQ_NP_948131-MCO29934224280_042019-F.jpg']"
2014.0,,48.000 km,Toyota,Fortuner,Mgy420,5.0,Gasolina,0,Urbana,82.000.000,"['https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_760643-MCO32396755011_102019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_908166-MCO31926927561_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_614534-MCO31926927563_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_736613-MCO31926927565_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_702840-MCO31926897993_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_786729-MCO31926898480_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_876814-MCO31926907352_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_933362-MCO31926912769_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_638377-MCO31926912773_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_710897-MCO31926929044_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_798980-MCO31926925606_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_820040-MCO31926912778_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_830930-MCO31926902432_082019-F.jpg', 'https://http2.mlstatic.com/toyota-fortuner-urbana-D_NQ_NP_821944-MCO31928847619_082019-F.jpg']"
2018.0,3200 cc,28.000 km,Mazda,BT-50,DXN-058,4.0,Diésel,0,Profesional All New,110.000.000,"['https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_738983-MCO31677663436_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_976281-MCO31677655982_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_949394-MCO31677701556_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_668470-MCO31677657976_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_634209-MCO31677664459_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_755140-MCO31677655995_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_683421-MCO31677690248_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_638022-MCO31677688785_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_741300-MCO31677747595_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_604251-MCO31677707932_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_911441-MCO31677737697_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_858098-MCO31677730764_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_738158-MCO31677705456_082019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-profesional-all-new-D_NQ_NP_684602-MCO31677706471_082019-F.jpg']"
2004.0,,285.000 km,Hyundai,Terracan,BSB 145,5.0,Gasolina,0,4x4 mecanica,24.000.000,"['https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_965090-MCO32482434395_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_783935-MCO32482426880_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_946972-MCO32482452002_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_620579-MCO32482426894_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_900033-MCO32482447090_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_912465-MCO32482433803_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_855688-MCO32482452030_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_600854-MCO32482440211_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_985128-MCO32482440230_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_819358-MCO32482431794_102019-F.jpg', 'https://http2.mlstatic.com/hyundai-terracan-4x4-mecanica-D_NQ_NP_765184-MCO32482452144_102019-F.jpg']"
2017.0,3600 cc,8.500 km,Porsche,Cayenne,EDW503,5.0,Gasolina,0,Cayenne S,334.900.000,"['https://http2.mlstatic.com/cayenne-s-D_NQ_NP_903404-MLA28415399272_102018-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_796555-MCO29437407507_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_636907-MCO28399977083_102018-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_733145-MCO29437379870_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_646590-MCO29437398665_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_749567-MCO28399967117_102018-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_911793-MCO28399925326_102018-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_837674-MCO29437394714_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_683317-MCO29437380372_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_949400-MCO29437380379_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_928297-MCO28399907939_102018-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_735379-MCO29437398692_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_852438-MCO29437407569_022019-F.jpg', 'https://http2.mlstatic.com/cayenne-s-D_NQ_NP_999946-MCO28399909969_102018-F.jpg']"
2011.0,,60.000 km,Mini,Cooper,Rcw686,3.0,Gasolina,0,Mini cooper,39.500.000,"['https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_784024-MCO32477017243_102019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_664595-MCO31858803221_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_940940-MCO31858849101_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_653861-MCO31858876039_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_720069-MCO31858803223_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_763277-MCO31858801718_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_767908-MCO31858801719_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_875913-MCO31858866565_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_830301-MCO31858856587_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_883440-MCO31858702996_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_915425-MCO31858737885_082019-F.jpg', 'https://http2.mlstatic.com/mini-cooper-mini-cooper-D_NQ_NP_727382-MCO31858809711_082019-F.jpg']"
2016.0,,75.000 km,Renault,Duster,IKZ044,5.0,Gasolina,0,Dinamique full equipo,38.700.000,"['https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_678714-MCO32806572859_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_904219-MCO32806579754_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_623317-MCO32806586157_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_809727-MCO32806588134_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_714160-MCO32806588138_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_949226-MCO32806584685_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_680907-MCO32806572879_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_777916-MCO32806588147_112019-F.jpg', 'https://http2.mlstatic.com/renault-duster-dinamique-full-equipo-D_NQ_NP_989163-MCO32806572885_112019-F.jpg']"
2016.0,,34.700 km,BMW,Serie 1,Bog 0,5.0,Gasolina,0,M edition,73.200.000,"['https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_796791-MCO32699877083_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_815356-MCO32436315258_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_944040-MCO32436327623_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_830950-MCO32436295393_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_883560-MCO32436295397_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_650633-MCO32436316725_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_916610-MCO32496608238_102019-F.jpg', 'https://http2.mlstatic.com/bmw-serie-1-m-edition-D_NQ_NP_754929-MCO32436315235_102019-F.jpg']"
2011.0,,110.000 km,Mazda,BT-50,*****3,4.0,Diésel,0,2.5CC 4x4 DIESEL MT FE,41.000.000,"['https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_949228-MCO32919994950_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_928605-MCO32920003330_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_708726-MCO32919996481_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_982780-MCO32920023504_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_990988-MCO32920023669_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_667482-MCO32920017266_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_692155-MCO32920020752_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_853783-MCO32920105346_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_780532-MCO32920020710_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_752419-MCO32920111563_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_737995-MCO32920114009_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_772662-MCO32920099441_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_762034-MCO32920098487_112019-F.jpg', 'https://http2.mlstatic.com/mazda-bt-50-25cc-4x4-diesel-mt-fe-D_NQ_NP_928755-MCO32920105298_112019-F.jpg']"
